Category: All categories

Month,Magic the Gathering: (United States)
2018-01,73
2018-02,71
2018-03,72
2018-04,83
2018-05,80
2018-06,76
2018-07,93
2018-08,87
2018-09,83
2018-10,92
2018-11,80
2018-12,87
2019-01,83
2019-02,71
2019-03,76
2019-04,87
2019-05,86
2019-06,91
2019-07,83
2019-08,77
2019-09,76
2019-10,75
2019-11,75
2019-12,82
2020-01,78
2020-02,69
2020-03,63
2020-04,67
2020-05,62
2020-06,77
2020-07,64
2020-08,62
2020-09,59
2020-10,56
2020-11,55
2020-12,60
2021-01,62
2021-02,64
2021-03,69
2021-04,70
2021-05,68
2021-06,70
2021-07,83
2021-08,76
2021-09,61
2021-10,57
2021-11,69
2021-12,64
2022-01,73
2022-02,77
2022-03,67
2022-04,70
2022-05,73
2022-06,75
2022-07,89
2022-08,88
2022-09,78
2022-10,79
2022-11,77
2022-12,80
2023-01,72
2023-02,75
2023-03,80
2023-04,77
2023-05,73
2023-06,100
2023-07,91
2023-08,90
2023-09,76
2023-10,91
2023-11,92
2023-12,84
2024-01,78
2024-02,77
2024-03,82
2024-04,78
2024-05,82
2024-06,91
2024-07,100
2024-08,95
2024-09,92
2024-10,91
2024-11,99
2024-12,98
2025-01,84
2025-02,90
